TKUFA2,Textbox59,Textbox66,Textbox67
 סיכום פעילות לפי קופה לתקופה נבחרת 07/1999 - 06/2018,        (במיליוני ש''ח),קופת גמל היא מכשיר חיסכון לטווח בינוני וארוך ומומלץ מאד לבחון את ביצועי הקופה לאורך זמן ולא לאורך חודשים בודדים,הנתונים המוצגים באתר דווחו על ידי הגופים המדווחים ובאחריותם

Textbox65,Textbox77,Textbox78,Textbox83,Textbox84,Textbox113,Textbox85,Textbox86,Textbox87,Textbox88,Textbox89,Textbox90,SHM2,ID2,Textbox103,Textbox104,Textbox105,Textbox106,Textbox112,Textbox110,Textbox107,Textbox108,Textbox109,SHM3,ID3,Textbox114,Textbox92,Textbox93,Textbox94,Textbox111,Textbox115,Textbox96,Textbox97,Textbox98,Textbox99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-16.3,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/10-07/99,לא פעיל,הפניקס מרכזית לפיצויים (סגורה),281,- - -,-16.3,- - -,- - -,- - -,דווח,- - -,06/10-07/99,לא פעיל,הפניקס מרכזית לפיצויים (סגורה),281,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-2.4,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/03-07/99,לא פעיל,** מעריב,315,- - -,-2.4,- - -,- - -,- - -,דווח,- - -,12/03-07/99,לא פעיל,** מעריב,315,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-10.1,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/10-07/99,לא פעיל,מיטב גאון פיצויים - כללי,331,- - -,-10.1,- - -,- - -,- - -,דווח,- - -,06/10-07/99,לא פעיל,מיטב גאון פיצויים - כללי,331,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/99-12/99,לא פעיל,פז,351,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,12/99-12/99,לא פעיל,פז,351,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",85.9%,67.4,225.6,0.61%,- - -,1.16,3.39%,2.45%,209.86%,06/18-07/99,, *** אקסלנס מרכזית לפיצויים עד 15% מניות,384,85.9%,67.4,225.6,0.61%,- - -,דווח,209.86%,06/18-07/99,, *** אקסלנס מרכזית לפיצויים עד 15% מניות,384,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-121.3,- - -,- - -,- - -,- - -,- - -,- - -,- - -,09/13-07/99,לא פעיל, *** אשכול כללי,404,- - -,-121.3,- - -,- - -,- - -,דווח,- - -,09/13-07/99,לא פעיל, *** אשכול כללי,404,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",92.2%,-127.3,224.8,0.30%,- - -,- - -,- - -,- - -,- - -,06/18-07/99,,אי.בי.אי - נגב קופה מרכזית לפיצויים רב מסלולים,429,92.2%,-127.3,224.8,0.30%,- - -,רב מסלולית,- - -,06/18-07/99,,אי.בי.אי - נגב קופה מרכזית לפיצויים רב מסלולים,429,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,10.8,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/09-07/99,לא פעיל,מנורה מרכזית לפיצויים מורג,441,- - -,10.8,- - -,- - -,- - -,דווח,- - -,12/09-07/99,לא פעיל,מנורה מרכזית לפיצויים מורג,441,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/99-09/99,לא פעיל,תדיראן,442,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,12/99-09/99,לא פעיל,תדיראן,442,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",87.3%,-47.3,93.6,0.71%,- - -,1.03,4.48%,3.05%,240.75%,06/18-07/99,,כלל מרכזית לפיצויים,443,87.3%,-47.3,93.6,0.71%,- - -,דווח,240.75%,06/18-07/99,,כלל מרכזית לפיצויים,443,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-0.8,- - -,- - -,- - -,- - -,- - -,- - -,- - -,08/08-07/99,לא פעיל,מכלול,445,- - -,-0.8,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,08/08-07/99,לא פעיל,מכלול,445,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,92.8,- - -,- - -,- - -,- - -,- - -,- - -,- - -,07/14-07/99,לא פעיל, *** דש דור ברגר-פיצויים,461,- - -,92.8,- - -,- - -,- - -,דווח,- - -,07/14-07/99,לא פעיל, *** דש דור ברגר-פיצויים,461,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-1.8,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/09-07/99,לא פעיל,גילעד מרכזית,504,- - -,-1.8,- - -,- - -,- - -,דווח,- - -,12/09-07/99,לא פעיל,גילעד מרכזית,504,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-266.7,- - -,- - -,- - -,- - -,- - -,- - -,- - -,01/17-07/99,לא פעיל, *** איילון מרכזית לפיצויים כללי,512,- - -,-266.7,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,01/17-07/99,לא פעיל, *** איילון מרכזית לפיצויים כללי,512,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-7.3,- - -,- - -,- - -,- - -,- - -,- - -,- - -,04/13-07/99,לא פעיל,מגן-פיצויים,516,- - -,-7.3,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,04/13-07/99,לא פעיל,מגן-פיצויים,516,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-32.9,- - -,- - -,- - -,- - -,- - -,- - -,- - -,07/14-07/99,לא פעיל, *** דש - פיצויים,553,- - -,-32.9,- - -,- - -,- - -,דווח,- - -,07/14-07/99,לא פעיל, *** דש - פיצויים,553,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,1.2,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/09-12/99,לא פעיל,הראל צוברת,568,- - -,1.2,- - -,- - -,- - -,דווח,- - -,12/09-12/99,לא פעיל,הראל צוברת,568,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",97.3%,-184.4,30.4,0.65%,- - -,0.63,2.25%,1.24%,- - -,06/18-07/99,,** כור - תדיראן קופת גמל מרכזית לפיצויים,581,97.3%,-184.4,30.4,0.65%,- - -,דווח,- - -,06/18-07/99,,** כור - תדיראן קופת גמל מרכזית לפיצויים,581,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",86.1%,88.6,203.1,0.67%,- - -,1.25,4.25%,3.74%,268.22%,06/18-07/99,," *** אלטשולר שחם פיצויים אג""ח עד 15% במניות",588,86.1%,88.6,203.1,0.67%,- - -,דווח,268.22%,06/18-07/99,," *** אלטשולר שחם פיצויים אג""ח עד 15% במניות",588,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-2.6,- - -,- - -,- - -,- - -,- - -,- - -,- - -,07/14-07/99,לא פעיל, *** יובלים - מרכזית,589,- - -,-2.6,- - -,- - -,- - -,דווח,- - -,07/14-07/99,לא פעיל, *** יובלים - מרכזית,589,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-53.2,- - -,- - -,- - -,- - -,- - -,- - -,- - -,08/10-07/99,לא פעיל,"** אי.בי.אי - נגב קופה מרכזית לפיצויים מסלול אג""ח",591,- - -,-53.2,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,08/10-07/99,לא פעיל,"** אי.בי.אי - נגב קופה מרכזית לפיצויים מסלול אג""ח",591,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,-1.3,- - -,- - -,- - -,- - -,- - -,- - -,- - -,12/08-07/99,לא פעיל,תגמולים במושבים-פיצויים,593,- - -,-1.3,- - -,- - -,- - -,דווח,- - -,12/08-07/99,לא פעיל,תגמולים במושבים-פיצויים,593,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",94.8%,-16.3,66.2,0.23%,- - -,- - -,- - -,- - -,- - -,06/18-11/99,,כלל גמל-מסלולית,614,94.8%,-16.3,66.2,0.23%,- - -,רב מסלולית,- - -,06/18-11/99,,כלל גמל-מסלולית,614,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,130.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,01/17-11/99,לא פעיל, *** תצפית,615,- - -,130.0,- - -,- - -,- - -,רב מסלולית,- - -,01/17-11/99,לא פעיל, *** תצפית,615,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",92.6%,242.6,"1,609.5",0.29%,- - -,- - -,- - -,- - -,- - -,06/18-07/99,,פסגות מסלולית לפיצויים,616,92.6%,242.6,"1,609.5",0.29%,- - -,רב מסלולית,- - -,06/18-07/99,,פסגות מסלולית לפיצויים,616,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,9.7,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/10-07/99,לא פעיל,גליל,617,- - -,9.7,- - -,- - -,- - -,רב מסלולית,- - -,06/10-07/99,לא פעיל,גליל,617,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,618,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,618,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,619,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,619,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,620,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,620,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,621,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,621,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,622,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,622,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,623,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,623,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,624,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,624,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,625,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,625,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,626,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,626,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,627,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,627,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
"שיעור דמי ניהול ממוצע לשנת
2017",- - -,0.0,- - -,- - -,- - -,- - -,- - -,- - -,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,628,- - -,0.0,- - -,- - -,- - -,אין נתונים לתחום המבוקש,- - -,06/01-11/99,לא פעיל,לבונה - קופה מרכזית לפיצויים,628,88.0%,"-16,268.5","15,361.3",0.52%,---,- - -,4.33%,2.98%,210.75%,06/18-07/99
